account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt
Muir_maid,0,0.7262367565263723,0.27376324347362774,-1,0.0,1.0,0,3,3
okinnear3,0,0.7399219592107267,0.2600780407892733,-1,0.0,1.0,0,1,1
OnlyGirlOfTen,1,0.23928992826184292,0.7607100717381571,1,0.9375,0.0625,15,1,16
PatKernanQuinn,0,0.6495744269397973,0.3504255730602027,-1,0.875,0.125,7,1,8
Pearl_Barney,0,0.7230338619095305,0.27696613809046955,1,0.0,0.0,0,0,0
PeterJohnRowe,0,0.6740129424635658,0.3259870575364342,1,1.0,0.0,2,0,2
ProfHarlan,0,0.6916456209124988,0.3083543790875012,-1,0.0,1.0,0,1,1
Prolifefriend,1,0.17544001656454233,0.8245599834354577,1,0.96875,0.03125,31,1,32
rabbrady,0,0.5311949386963201,0.46880506130367994,1,1.0,0.0,4,0,4
realsophieyates,0,0.821089425777588,0.1789105742224119,-1,0.0,1.0,0,3,3
RebeccaG2012,0,0.6050542093942604,0.3949457906057396,1,1.0,0.0,4,0,4
RedPillSlayer,0,0.6570503399391261,0.34294966006087385,1,0.0,0.0,0,0,0
regright,0,0.7566957152179438,0.2433042847820562,1,1.0,0.0,1,0,1
ReinyDey,0,0.5046832285571532,0.49531677144284686,1,0.954545455,0.045454545,21,1,22
RepMyers,0,0.7510812079647099,0.24891879203529013,-1,0.0,1.0,0,3,3
richard_bushey,0,0.5320624051080818,0.46793759489191816,1,1.0,0.0,2,0,2
richellenicole,0,0.7158164700126793,0.28418352998732066,-1,0.0,1.0,0,1,1
riconservative,0,0.689168311776673,0.31083168822332696,1,1.0,0.0,5,0,5
rjg27,0,0.685125373728094,0.314874626271906,1,1.0,0.0,1,0,1
RKCSouthern,0,0.6749943732237428,0.3250056267762572,1,1.0,0.0,1,0,1
RockBautumn,0,0.6578785798486708,0.3421214201513292,-1,0.0,1.0,0,1,1
Rodrigo_Bares,0,0.7213331994921947,0.27866680050780535,-1,0.0,1.0,0,1,1
RooForLife,1,0.479745303833374,0.520254696166626,1,0.96969697,0.03030303,32,1,33
RoseAntonia13,0,0.744256235553675,0.25574376444632496,-1,0.0,1.0,0,2,2
RoxieToxic_,0,0.7578836190435219,0.24211638095647814,-1,0.0,1.0,0,11,11
RyanBizarri,0,0.6237037665956331,0.3762962334043669,1,1.0,0.0,11,0,11
