account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt
Muir_maid,0,0.7020056907025913,0.2979943092974086,-1,0.0,1.0,0,3,3
okinnear3,0,0.7140141034468828,0.28598589655311724,-1,0.0,1.0,0,1,1
OnlyGirlOfTen,1,0.2406499847333735,0.7593500152666265,1,0.9375,0.0625,15,1,16
PatKernanQuinn,0,0.6268942991873787,0.3731057008126213,-1,0.875,0.125,7,1,8
Pearl_Barney,0,0.6963727743655563,0.3036272256344437,1,1.0,0.0,1,0,1
PeterJohnRowe,0,0.6482353568621098,0.3517646431378902,1,1.0,0.0,2,0,2
ProfHarlan,0,0.6744555742212051,0.32554442577879494,-1,0.0,1.0,0,1,1
Prolifefriend,1,0.18220284090755956,0.8177971590924404,1,0.96875,0.03125,31,1,32
rabbrady,0,0.5066697949038053,0.49333020509619474,1,1.0,0.0,4,0,4
realsophieyates,0,0.8009516845443476,0.19904831545565232,-1,0.0,1.0,0,3,3
RebeccaG2012,0,0.583009902276938,0.41699009772306195,1,1.0,0.0,4,0,4
RedPillSlayer,0,0.6472612686432446,0.3527387313567553,1,0.0,0.0,0,0,0
regright,0,0.7328472951178124,0.2671527048821876,1,1.0,0.0,1,0,1
ReinyDey,1,0.4851445259446081,0.5148554740553919,1,0.9545454545454546,0.045454545454545456,21,1,22
RepMyers,0,0.7267042771342123,0.2732957228657877,-1,0.0,1.0,0,3,3
richard_bushey,0,0.522177798211644,0.477822201788356,1,1.0,0.0,2,0,2
richellenicole,0,0.6903013798958593,0.3096986201041407,-1,0.0,1.0,0,1,1
riconservative,0,0.66232320174723,0.33767679825276997,1,1.0,0.0,5,0,5
rjg27,0,0.6606896506797011,0.33931034932029897,1,1.0,0.0,1,0,1
RKCSouthern,0,0.6487235364587793,0.3512764635412206,1,1.0,0.0,1,0,1
RockBautumn,0,0.6327330051586688,0.3672669948413312,-1,0.0,1.0,0,1,1
Rodrigo_Bares,0,0.6957600698586477,0.30423993014135237,-1,0.0,1.0,0,1,1
RooForLife,1,0.45780606601333407,0.5421939339866659,1,0.9696969696969696,0.030303030303030307,32,1,33
RoseAntonia13,0,0.7226650243896144,0.2773349756103855,-1,0.0,1.0,0,2,2
RoxieToxic_,0,0.7328506105319677,0.26714938946803235,-1,0.0,1.0,0,11,11
RyanBizarri,0,0.6033663186466826,0.39663368135331745,1,1.0,0.0,11,0,11
samscrta,0,0.6203482511036998,0.37965174889630016,-1,0.0,1.0,0,2,2
SamuelRWeaver1,0,0.5387006655101367,0.4612993344898633,1,1.0,0.0,3,0,3
scarr6612,1,0.4677562806294545,0.5322437193705455,-1,0.875,0.125,7,1,8
scopferbrace,0,0.6960567498489785,0.30394325015102147,-1,0.0,1.0,0,1,1
sexualhealthns,0,0.7652626981303263,0.2347373018696737,-1,0.0,1.0,0,9,9
shaunkenyon1967,0,0.5843042957800306,0.4156957042199694,-1,0.0,1.0,0,6,6
SheriTreadwell,0,0.6830778474351479,0.3169221525648521,1,1.0,0.0,2,0,2
ShinobiShawn2,0,0.673286636796453,0.3267133632035471,1,1.0,0.0,2,0,2
ShooguhLipz,0,0.7419066391230444,0.2580933608769555,-1,0.0,1.0,0,8,8
SimonCookeMSI,0,0.8557645633143902,0.14423543668560973,-1,0.0,1.0,0,5,5
sineadgallivann,0,0.6680297404887315,0.33197025951126846,-1,0.0,0.0,0,0,0
soihadanabort,1,0.4978916460015148,0.5021083539984852,-1,0.05,0.95,1,19,20
sojourner_blanc,0,0.6980146289637361,0.3019853710362639,-1,0.0,1.0,0,2,2
strangemoore,0,0.6957588571804938,0.30424114281950615,-1,0.0,1.0,0,1,1
sydneyrenee3,0,0.6823501047769964,0.3176498952230036,-1,0.0,1.0,0,1,1
T2theGuajardo,0,0.523639943274307,0.47636005672569304,1,1.0,0.0,5,0,5
The_Alma_D,0,0.6958223543625419,0.30417764563745814,-1,0.0,1.0,0,13,13
thejacksonlacy,0,0.6884691068368383,0.31153089316316174,-1,0.0,1.0,0,1,1
thejessicaraven,0,0.7783008494641394,0.22169915053586065,-1,0.25,0.75,1,3,4
TheOpenMicah,0,0.6081746201151926,0.39182537988480737,1,1.0,0.0,2,0,2
tideslifefaith,0,0.5644346988209352,0.4355653011790648,1,1.0,0.0,4,0,4
tjbayus1,0,0.6764388529075039,0.32356114709249606,1,1.0,0.0,1,0,1
tkose98,0,0.508003478898289,0.491996521101711,-1,0.0,1.0,0,1,1
TomBurdolski,0,0.5728024427610239,0.4271975572389762,1,1.0,0.0,11,0,11
toratannerchung,0,0.6804373451770863,0.3195626548229137,-1,0.0,1.0,0,1,1
Trevor_Horne,0,0.7042406792426293,0.29575932075737066,-1,0.0,1.0,0,1,1
trianglescheme,1,0.4472546236988423,0.5527453763011577,-1,0.0,1.0,0,7,7
turnerdina1,0,0.6156443532501032,0.3843556467498967,1,1.0,0.0,4,0,4
UKStorageGuru,0,0.5806925091929922,0.41930749080700774,1,1.0,0.0,1,0,1
vailkoyo,0,0.6930605446652367,0.30693945533476336,-1,0.0,1.0,0,2,2
VERASTEGUI100,1,0.384296508491887,0.615703491508113,1,0.9473684210526316,0.05263157894736842,18,1,19
Vikar_Singh,0,0.6770253976459134,0.3229746023540866,-1,0.0,1.0,0,2,2
VLabarum,0,0.6159765900219989,0.38402340997800105,1,0.9230769230769232,0.07692307692307693,12,1,13
wafulkerson1,0,0.5263118830376388,0.47368811696236124,1,1.0,0.0,2,0,2
WarrenDavidson,0,0.5984864546264165,0.4015135453735835,1,0.9,0.1,9,1,10
WilsonRx,0,0.6225466676740969,0.3774533323259031,1,1.0,0.0,3,0,3
wordspurify27,1,0.276982090729883,0.723017909270117,-1,0.0,1.0,0,3,3
